Title:   Total RR and Delta N=0 DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesAl.txt
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  7.6667E-01  0.000E+00 
 2  1.9953E+00  4.9350E-01  0.000E+00 
 2  3.9811E+00  3.1429E-01  0.000E+00 
 2  7.9433E+00  1.9732E-01  0.000E+00 
 2  1.5849E+01  1.2181E-01  7.780E-32 
 2  3.1623E+01  7.3793E-02  9.310E-17 
 2  6.3096E+01  4.3783E-02  2.071E-09 
 2  1.2589E+02  2.5363E-02  5.990E-06 
 2  2.5119E+02  1.4273E-02  1.939E-04 
 2  5.0119E+02  7.7557E-03  6.610E-04 
 3  1.0000E+00  6.3183E-01  2.833E+00 
 3  1.9953E+00  4.0643E-01  1.678E+00 
 3  3.9811E+00  2.5851E-01  9.838E-01 
 3  7.9433E+00  1.6204E-01  7.170E-01 
 3  1.5849E+01  9.9874E-02  5.131E-01 
 3  3.1623E+01  6.0405E-02  2.862E-01 
 3  6.3096E+01  3.5751E-02  1.302E-01 
 3  1.2589E+02  2.0618E-02  5.259E-02 
 3  2.5119E+02  1.1511E-02  1.993E-02 
 3  5.0119E+02  6.1777E-03  7.313E-03 
 4  1.0000E+00  5.1404E-01  6.586E-01 
 4  1.9953E+00  3.3088E-01  9.587E-01 
 4  3.9811E+00  2.1057E-01  1.034E+00 
 4  7.9433E+00  1.3214E-01  9.148E-01 
 4  1.5849E+01  8.1619E-02  7.689E-01 
 4  3.1623E+01  4.9529E-02  5.274E-01 
 4  6.3096E+01  2.9428E-02  2.775E-01 
 4  1.2589E+02  1.7011E-02  1.218E-01 
 4  2.5119E+02  9.4796E-03  4.821E-02 
 4  5.0119E+02  5.0432E-03  1.809E-02 
 5  1.0000E+00  4.0011E-01  2.098E+00 
 5  1.9953E+00  2.5712E-01  1.068E+00 
 5  3.9811E+00  1.6331E-01  6.904E-01 
 5  7.9433E+00  1.0233E-01  5.543E-01 
 5  1.5849E+01  6.3192E-02  5.518E-01 
 5  3.1623E+01  3.8399E-02  4.497E-01 
 5  6.3096E+01  2.2883E-02  2.607E-01 
 5  1.2589E+02  1.3281E-02  1.201E-01 
 5  2.5119E+02  7.4308E-03  4.876E-02 
 5  5.0119E+02  3.9658E-03  1.852E-02 
 6  1.0000E+00  2.9697E-01  9.278E-01 
 6  1.9953E+00  1.9019E-01  5.814E-01 
 6  3.9811E+00  1.2036E-01  3.954E-01 
 6  7.9433E+00  7.5196E-02  3.179E-01 
 6  1.5849E+01  4.6382E-02  3.596E-01 
 6  3.1623E+01  2.8229E-02  3.214E-01 
 6  6.3096E+01  1.6900E-02  1.951E-01 
 6  1.2589E+02  9.8745E-03  9.197E-02 
 6  2.5119E+02  5.5651E-03  3.776E-02 
 6  5.0119E+02  2.9881E-03  1.442E-02 
 7  1.0000E+00  2.0427E-01  5.814E-01 
 7  1.9953E+00  1.2990E-01  5.458E-01 
 7  3.9811E+00  8.1620E-02  4.252E-01 
 7  7.9433E+00  5.0701E-02  3.315E-01 
 7  1.5849E+01  3.1189E-02  3.487E-01 
 7  3.1623E+01  1.9023E-02  2.803E-01 
 7  6.3096E+01  1.1477E-02  1.574E-01 
 7  1.2589E+02  6.7888E-03  7.090E-02 
 7  2.5119E+02  3.8783E-03  2.841E-02 
 7  5.0119E+02  2.1068E-03  1.072E-02 
 8  1.0000E+00  1.2880E-01  1.612E-01 
 8  1.9953E+00  8.1059E-02  1.119E-01 
 8  3.9811E+00  5.0433E-02  6.740E-02 
 8  7.9433E+00  3.1108E-02  6.531E-02 
 8  1.5849E+01  1.9107E-02  1.285E-01 
 8  3.1623E+01  1.1729E-02  1.384E-01 
 8  6.3096E+01  7.1833E-03  8.794E-02 
 8  1.2589E+02  4.3350E-03  4.196E-02 
 8  2.5119E+02  2.5262E-03  1.729E-02 
 8  5.0119E+02  1.3937E-03  6.611E-03 
 9  1.0000E+00  6.8932E-02  1.660E-02 
 9  1.9953E+00  4.2511E-02  8.243E-03 
 9  3.9811E+00  2.5921E-02  5.449E-03 
 9  7.9433E+00  1.5733E-02  1.198E-02 
 9  1.5849E+01  9.6026E-03  4.173E-02 
 9  3.1623E+01  5.9455E-03  5.430E-02 
 9  6.3096E+01  3.7264E-03  3.749E-02 
 9  1.2589E+02  2.3184E-03  1.861E-02 
 9  2.5119E+02  1.3896E-03  7.818E-03 
 9  5.0119E+02  7.8276E-04  3.019E-03 
