Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesAr.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  1.7941E+00  0.0000E+00 
 2  1.9953E+00  1.1550E+00  0.0000E+00 
 2  3.9811E+00  7.3911E-01  0.0000E+00 
 2  7.9433E+00  4.6940E-01  0.0000E+00 
 2  1.5849E+01  2.9523E-01  0.0000E+00 
 2  3.1623E+01  1.8333E-01  1.8194E-30 
 2  6.3096E+01  1.1194E-01  1.0102E-15 
 2  1.2589E+02  6.6876E-02  1.5120E-08 
 2  2.5119E+02  3.8852E-02  4.2734E-05 
 2  5.0119E+02  2.1804E-02  1.8220E-03 
 3  1.0000E+00  1.5791E+00  2.1313E+00 
 3  1.9953E+00  1.0180E+00  1.8643E+00 
 3  3.9811E+00  6.5209E-01  1.4595E+00 
 3  7.9433E+00  4.1429E-01  1.1285E+00 
 3  1.5849E+01  2.6042E-01  8.6795E-01 
 3  3.1623E+01  1.6142E-01  5.4563E-01 
 3  6.3096E+01  9.8219E-02  2.8343E-01 
 3  1.2589E+02  5.8352E-02  1.5747E-01 
 3  2.5119E+02  3.3633E-02  1.1004E-01 
 3  5.0119E+02  1.8680E-02  6.9904E-02 
 4  1.0000E+00  1.3716E+00  1.2395E+01 
 4  1.9953E+00  8.8456E-01  8.3916E+00 
 4  3.9811E+00  5.6657E-01  4.8171E+00 
 4  7.9433E+00  3.5970E-01  2.7341E+00 
 4  1.5849E+01  2.2574E-01  1.6744E+00 
 4  3.1623E+01  1.3951E-01  1.0639E+00 
 4  6.3096E+01  8.4509E-02  6.0086E-01 
 4  1.2589E+02  4.9885E-02  3.2769E-01 
 4  2.5119E+02  2.8508E-02  1.9740E-01 
 4  5.0119E+02  1.5664E-02  1.1084E-01 
 5  1.0000E+00  1.1615E+00  6.4565E+00 
 5  1.9953E+00  7.4833E-01  4.8201E+00 
 5  3.9811E+00  4.7883E-01  3.2723E+00 
 5  7.9433E+00  3.0368E-01  1.9166E+00 
 5  1.5849E+01  1.9038E-01  1.2079E+00 
 5  3.1623E+01  1.1754E-01  8.8463E-01 
 5  6.3096E+01  7.1120E-02  5.6799E-01 
 5  1.2589E+02  4.1935E-02  3.9005E-01 
 5  2.5119E+02  2.3937E-02  2.9603E-01 
 5  5.0119E+02  1.3138E-02  1.8171E-01 
 6  1.0000E+00  9.6742E-01  4.2876E+00 
 6  1.9953E+00  6.2162E-01  2.3532E+00 
 6  3.9811E+00  3.9669E-01  1.3517E+00 
 6  7.9433E+00  2.5095E-01  7.9958E-01 
 6  1.5849E+01  1.5695E-01  5.8189E-01 
 6  3.1623E+01  9.6699E-02  5.3482E-01 
 6  6.3096E+01  5.8413E-02  4.1880E-01 
 6  1.2589E+02  3.4401E-02  3.7148E-01 
 6  2.5119E+02  1.9624E-02  3.1964E-01 
 6  5.0119E+02  1.0770E-02  2.0012E-01 
 7  1.0000E+00  7.8476E-01  1.1172E+00 
 7  1.9953E+00  5.0204E-01  8.6057E-01 
 7  3.9811E+00  3.1900E-01  7.7814E-01 
 7  7.9433E+00  2.0097E-01  6.5304E-01 
 7  1.5849E+01  1.2521E-01  5.7036E-01 
 7  3.1623E+01  7.6890E-02  5.1078E-01 
 7  6.3096E+01  4.6326E-02  3.9241E-01 
 7  1.2589E+02  2.7234E-02  3.5420E-01 
 7  2.5119E+02  1.5524E-02  2.9638E-01 
 7  5.0119E+02  8.5220E-03  1.7949E-01 
 8  1.0000E+00  6.1945E-01  8.2346E-01 
 8  1.9953E+00  3.9422E-01  6.8446E-01 
 8  3.9811E+00  2.4920E-01  4.9659E-01 
 8  7.9433E+00  1.5622E-01  3.2012E-01 
 8  1.5849E+01  9.6898E-02  2.4012E-01 
 8  3.1623E+01  5.9274E-02  2.5472E-01 
 8  6.3096E+01  3.5606E-02  2.5862E-01 
 8  1.2589E+02  2.0894E-02  2.9116E-01 
 8  2.5119E+02  1.1903E-02  2.4905E-01 
 8  5.0119E+02  6.5395E-03  1.4718E-01 
 9  1.0000E+00  4.6786E-01  1.8574E-01 
 9  1.9953E+00  2.9535E-01  1.5020E-01 
 9  3.9811E+00  1.8520E-01  1.0482E-01 
 9  7.9433E+00  1.1521E-01  6.1236E-02 
 9  1.5849E+01  7.0950E-02  5.5681E-02 
 9  3.1623E+01  4.3133E-02  9.3265E-02 
 9  6.3096E+01  2.5785E-02  1.4733E-01 
 9  1.2589E+02  1.5082E-02  2.0562E-01 
 9  2.5119E+02  8.5809E-03  1.7864E-01 
 9  5.0119E+02  4.7187E-03  1.0377E-01 
