Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesCa.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  2.3423E+00  0.0000E+00 
 2  1.9953E+00  1.5117E+00  0.0000E+00 
 2  3.9811E+00  9.7012E-01  0.0000E+00 
 2  7.9433E+00  6.1816E-01  0.0000E+00 
 2  1.5849E+01  3.9032E-01  0.0000E+00 
 2  3.1623E+01  2.4353E-01  1.6359E-37 
 2  6.3096E+01  1.4956E-01  3.4751E-19 
 2  1.2589E+02  8.9980E-02  3.1947E-10 
 2  2.5119E+02  5.2719E-02  6.5106E-06 
 2  5.0119E+02  2.9883E-02  7.2048E-04 
 3  1.0000E+00  2.0882E+00  4.2521E+00 
 3  1.9953E+00  1.3493E+00  3.7974E+00 
 3  3.9811E+00  8.6655E-01  2.5312E+00 
 3  7.9433E+00  5.5230E-01  1.6425E+00 
 3  1.5849E+01  3.4853E-01  1.1333E+00 
 3  3.1623E+01  2.1708E-01  7.0003E-01 
 3  6.3096E+01  1.3289E-01  3.6139E-01 
 3  1.2589E+02  7.9538E-02  1.8550E-01 
 3  2.5119E+02  4.6261E-02  1.2324E-01 
 3  5.0119E+02  2.5970E-02  8.2831E-02 
 4  1.0000E+00  1.8410E+00  4.5430E+00 
 4  1.9953E+00  1.1898E+00  4.0729E+00 
 4  3.9811E+00  7.6404E-01  3.1084E+00 
 4  7.9433E+00  4.8661E-01  2.2353E+00 
 4  1.5849E+01  3.0659E-01  1.5909E+00 
 4  3.1623E+01  1.9044E-01  1.1393E+00 
 4  6.3096E+01  1.1610E-01  6.7119E-01 
 4  1.2589E+02  6.9079E-02  3.5932E-01 
 4  2.5119E+02  3.9860E-02  2.2086E-01 
 4  5.0119E+02  2.2153E-02  1.3552E-01 
 5  1.0000E+00  1.5899E+00  1.7847E+00 
 5  1.9953E+00  1.0264E+00  1.8052E+00 
 5  3.9811E+00  6.5827E-01  1.6026E+00 
 5  7.9433E+00  4.1872E-01  1.3260E+00 
 5  1.5849E+01  2.6347E-01  1.0770E+00 
 5  3.1623E+01  1.6343E-01  8.8396E-01 
 5  6.3096E+01  9.9489E-02  6.1509E-01 
 5  1.2589E+02  5.9106E-02  4.1691E-01 
 5  2.5119E+02  3.4050E-02  3.3335E-01 
 5  5.0119E+02  1.8892E-02  2.2789E-01 
 6  1.0000E+00  1.3563E+00  5.0877E+00 
 6  1.9953E+00  8.7330E-01  3.2861E+00 
 6  3.9811E+00  5.5867E-01  2.0125E+00 
 6  7.9433E+00  3.5446E-01  1.2194E+00 
 6  1.5849E+01  2.2249E-01  8.2129E-01 
 6  3.1623E+01  1.3769E-01  6.4932E-01 
 6  6.3096E+01  8.3639E-02  4.8199E-01 
 6  1.2589E+02  4.9595E-02  3.9226E-01 
 6  2.5119E+02  2.8526E-02  3.6330E-01 
 6  5.0119E+02  1.5807E-02  2.5607E-01 
 7  1.0000E+00  1.1334E+00  9.4095E+00 
 7  1.9953E+00  7.2699E-01  4.9923E+00 
 7  3.9811E+00  4.6326E-01  2.7572E+00 
 7  7.9433E+00  2.9280E-01  1.5444E+00 
 7  1.5849E+01  1.8311E-01  9.3516E-01 
 7  3.1623E+01  1.1294E-01  6.9295E-01 
 7  6.3096E+01  6.8397E-02  4.7761E-01 
 7  1.2589E+02  4.0457E-02  3.8957E-01 
 7  2.5119E+02  2.3227E-02  3.6300E-01 
 7  5.0119E+02  1.2856E-02  2.5084E-01 
 8  1.0000E+00  9.2844E-01  3.8347E+00 
 8  1.9953E+00  5.9280E-01  2.0449E+00 
 8  3.9811E+00  3.7601E-01  9.5637E-01 
 8  7.9433E+00  2.3659E-01  4.4244E-01 
 8  1.5849E+01  1.4732E-01  2.7186E-01 
 8  3.1623E+01  9.0506E-02  2.6845E-01 
 8  6.3096E+01  5.4624E-02  2.6371E-01 
 8  1.2589E+02  3.2220E-02  3.1274E-01 
 8  2.5119E+02  1.8460E-02  3.2958E-01 
 8  5.0119E+02  1.0206E-02  2.2785E-01 
 9  1.0000E+00  7.3679E-01  2.1093E-01 
 9  1.9953E+00  4.6726E-01  1.4581E-01 
 9  3.9811E+00  2.9436E-01  8.3657E-02 
 9  7.9433E+00  1.8396E-01  5.3202E-02 
 9  1.5849E+01  1.1382E-01  5.4157E-02 
 9  3.1623E+01  6.9506E-02  9.1822E-02 
 9  6.3096E+01  4.1731E-02  1.4258E-01 
 9  1.2589E+02  2.4510E-02  2.3925E-01 
 9  2.5119E+02  1.4000E-02  2.6658E-01 
 9  5.0119E+02  7.7257E-03  1.8144E-01 
