Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesFe.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  4.4775E+00  0.0000E+00 
 2  1.9953E+00  2.9061E+00  0.0000E+00 
 2  3.9811E+00  1.8767E+00  0.0000E+00 
 2  7.9433E+00  1.2047E+00  0.0000E+00 
 2  1.5849E+01  7.6739E-01  0.0000E+00 
 2  3.1623E+01  4.8393E-01  0.0000E+00 
 2  6.3096E+01  3.0114E-01  4.9247E-32 
 2  1.2589E+02  1.8413E-01  1.5023E-16 
 2  2.5119E+02  1.1004E-01  5.2241E-09 
 2  5.0119E+02  6.3872E-02  2.0813E-05 
 3  1.0000E+00  4.0974E+00  3.6261E-01 
 3  1.9953E+00  2.6608E+00  1.6563E+00 
 3  3.9811E+00  1.7189E+00  2.3384E+00 
 3  7.9433E+00  1.1033E+00  2.0600E+00 
 3  1.5849E+01  7.0230E-01  1.5799E+00 
 3  3.1623E+01  4.4221E-01  1.0867E+00 
 3  6.3096E+01  2.7444E-01  6.1144E-01 
 3  1.2589E+02  1.6711E-01  3.0002E-01 
 3  2.5119E+02  9.9280E-02  1.5995E-01 
 3  5.0119E+02  5.7175E-02  1.0838E-01 
 4  1.0000E+00  3.7205E+00  6.3205E+00 
 4  1.9953E+00  2.4158E+00  4.7027E+00 
 4  3.9811E+00  1.5600E+00  3.4972E+00 
 4  7.9433E+00  1.0005E+00  2.8554E+00 
 4  1.5849E+01  6.3599E-01  2.1851E+00 
 4  3.1623E+01  3.9953E-01  1.5616E+00 
 4  6.3096E+01  2.4711E-01  9.8921E-01 
 4  1.2589E+02  1.4974E-01  5.3824E-01 
 4  2.5119E+02  8.8375E-02  2.9902E-01 
 4  5.0119E+02  5.0467E-02  1.9545E-01 
 5  1.0000E+00  3.3355E+00  4.3300E+01 
 5  1.9953E+00  2.1631E+00  2.0757E+01 
 5  3.9811E+00  1.3950E+00  9.8891E+00 
 5  7.9433E+00  8.9337E-01  5.1704E+00 
 5  1.5849E+01  5.6698E-01  2.9303E+00 
 5  3.1623E+01  3.5557E-01  1.8056E+00 
 5  6.3096E+01  2.1949E-01  1.1210E+00 
 5  1.2589E+02  1.3272E-01  6.4467E-01 
 5  2.5119E+02  7.8142E-02  4.1845E-01 
 5  5.0119E+02  4.4504E-02  3.1688E-01 
 6  1.0000E+00  2.9705E+00  1.5316E+01 
 6  1.9953E+00  1.9223E+00  1.2835E+01 
 6  3.9811E+00  1.2370E+00  9.1224E+00 
 6  7.9433E+00  7.9037E-01  5.4196E+00 
 6  1.5849E+01  5.0041E-01  2.8906E+00 
 6  3.1623E+01  3.1303E-01  1.5611E+00 
 6  6.3096E+01  1.9273E-01  9.0830E-01 
 6  1.2589E+02  1.1621E-01  5.4031E-01 
 6  2.5119E+02  6.8225E-02  4.1072E-01 
 6  5.0119E+02  3.8738E-02  3.4995E-01 
 7  1.0000E+00  2.6172E+00  1.3196E+01 
 7  1.9953E+00  1.6890E+00  8.6967E+00 
 7  3.9811E+00  1.0837E+00  5.0930E+00 
 7  7.9433E+00  6.9031E-01  3.1012E+00 
 7  1.5849E+01  4.3570E-01  1.8376E+00 
 7  3.1623E+01  2.7169E-01  1.1697E+00 
 7  6.3096E+01  1.6673E-01  7.5861E-01 
 7  1.2589E+02  1.0021E-01  4.8857E-01 
 7  2.5119E+02  5.8634E-02  4.3500E-01 
 7  5.0119E+02  3.3182E-02  4.0026E-01 
 8  1.0000E+00  2.2804E+00  1.7515E+00 
 8  1.9953E+00  1.4667E+00  1.2649E+00 
 8  3.9811E+00  9.3779E-01  8.6248E-01 
 8  7.9433E+00  5.9524E-01  5.8159E-01 
 8  1.5849E+01  3.7432E-01  4.1495E-01 
 8  3.1623E+01  2.3254E-01  3.4874E-01 
 8  6.3096E+01  1.4216E-01  3.2223E-01 
 8  1.2589E+02  8.5112E-02  3.0655E-01 
 8  2.5119E+02  4.9610E-02  3.8993E-01 
 8  5.0119E+02  2.7968E-02  3.9766E-01 
 9  1.0000E+00  1.9602E+00  5.0178E-01 
 9  1.9953E+00  1.2554E+00  3.4639E-01 
 9  3.9811E+00  7.9900E-01  2.4415E-01 
 9  7.9433E+00  5.0475E-01  1.8622E-01 
 9  1.5849E+01  3.1586E-01  1.4105E-01 
 9  3.1623E+01  1.9524E-01  1.2588E-01 
 9  6.3096E+01  1.1875E-01  1.4114E-01 
 9  1.2589E+02  7.0725E-02  2.0344E-01 
 9  2.5119E+02  4.1006E-02  3.4772E-01 
 9  5.0119E+02  2.2994E-02  3.7430E-01 
