Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesMg.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  6.1242E-01  0.0000E+00 
 2  1.9953E+00  3.8973E-01  0.0000E+00 
 2  3.9811E+00  2.4614E-01  0.0000E+00 
 2  7.9433E+00  1.5399E-01  0.0000E+00 
 2  1.5849E+01  9.5164E-02  6.3089E-27 
 2  3.1623E+01  5.7876E-02  4.7522E-14 
 2  6.3096E+01  3.4474E-02  9.0226E-08 
 2  1.2589E+02  1.9995E-02  1.1629E-04 
 2  2.5119E+02  1.1220E-02  3.5435E-03 
 2  5.0119E+02  6.0508E-03  1.3017E-02 
 3  1.0000E+00  5.0245E-01  2.8070E-01 
 3  1.9953E+00  3.2075E-01  4.6116E-01 
 3  3.9811E+00  2.0309E-01  4.9930E-01 
 3  7.9433E+00  1.2725E-01  5.3328E-01 
 3  1.5849E+01  7.8638E-02  4.2997E-01 
 3  3.1623E+01  4.7728E-02  2.5418E-01 
 3  6.3096E+01  2.8300E-02  1.4375E-01 
 3  1.2589E+02  1.6291E-02  8.7217E-02 
 3  2.5119E+02  9.0437E-03  4.8569E-02 
 3  5.0119E+02  4.8102E-03  2.7230E-02 
 4  1.0000E+00  4.0064E-01  1.3182E+00 
 4  1.9953E+00  2.5600E-01  7.5197E-01 
 4  3.9811E+00  1.6215E-01  6.7723E-01 
 4  7.9433E+00  1.0153E-01  6.6902E-01 
 4  1.5849E+01  6.2626E-02  6.4905E-01 
 4  3.1623E+01  3.7875E-02  4.7093E-01 
 4  6.3096E+01  2.2332E-02  2.7620E-01 
 4  1.2589E+02  1.2755E-02  1.4919E-01 
 4  2.5119E+02  7.0087E-03  7.2406E-02 
 4  5.0119E+02  3.6820E-03  3.2514E-02 
 5  1.0000E+00  3.0080E-01  1.2977E+00 
 5  1.9953E+00  1.9236E-01  7.7726E-01 
 5  3.9811E+00  1.2197E-01  4.8589E-01 
 5  7.9433E+00  7.6473E-02  3.9480E-01 
 5  1.5849E+01  4.7248E-02  4.7920E-01 
 5  3.1623E+01  2.8633E-02  4.2332E-01 
 5  6.3096E+01  1.6925E-02  3.0358E-01 
 5  1.2589E+02  9.6948E-03  1.8812E-01 
 5  2.5119E+02  5.3452E-03  9.5951E-02 
 5  5.0119E+02  2.8186E-03  4.3048E-02 
 6  1.0000E+00  2.1531E-01  5.7213E-01 
 6  1.9953E+00  1.3726E-01  3.5565E-01 
 6  3.9811E+00  8.6810E-02  2.3441E-01 
 6  7.9433E+00  5.4336E-02  2.3276E-01 
 6  1.5849E+01  3.3550E-02  3.1692E-01 
 6  3.1623E+01  2.0348E-02  3.1721E-01 
 6  6.3096E+01  1.2058E-02  2.5112E-01 
 6  1.2589E+02  6.9378E-03  1.5834E-01 
 6  2.5119E+02  3.8502E-03  7.9667E-02 
 6  5.0119E+02  2.0475E-03  3.5305E-02 
 7  1.0000E+00  1.4065E-01  2.5390E-01 
 7  1.9953E+00  8.8108E-02  2.7639E-01 
 7  3.9811E+00  5.4693E-02  2.4182E-01 
 7  7.9433E+00  3.3570E-02  2.4860E-01 
 7  1.5849E+01  2.0403E-02  3.0498E-01 
 7  3.1623E+01  1.2489E-02  2.6464E-01 
 7  6.3096E+01  7.7056E-03  1.8049E-01 
 7  1.2589E+02  4.6421E-03  1.0041E-01 
 7  2.5119E+02  2.6597E-03  4.6701E-02 
 7  5.0119E+02  1.4357E-03  1.9732E-02 
 8  1.0000E+00  7.5736E-02  6.9814E-02 
 8  1.9953E+00  4.7590E-02  4.7424E-02 
 8  3.9811E+00  2.9627E-02  2.9677E-02 
 8  7.9433E+00  1.8227E-02  5.3412E-02 
 8  1.5849E+01  1.1127E-02  1.2383E-01 
 8  3.1623E+01  6.9406E-03  1.3730E-01 
 8  6.3096E+01  4.4349E-03  9.6721E-02 
 8  1.2589E+02  2.7671E-03  5.1006E-02 
 8  2.5119E+02  1.6238E-03  2.2518E-02 
 8  5.0119E+02  8.8690E-04  9.2013E-03 
 9  1.0000E+00  3.2852E-02  5.4060E-03 
 9  1.9953E+00  2.0199E-02  2.0701E-03 
 9  3.9811E+00  1.2304E-02  1.2756E-03 
 9  7.9433E+00  7.4160E-03  1.1158E-02 
 9  1.5849E+01  4.5117E-03  4.2418E-02 
 9  3.1623E+01  2.9302E-03  5.6105E-02 
 9  6.3096E+01  1.9961E-03  4.0620E-02 
 9  1.2589E+02  1.3157E-03  2.0983E-02 
 9  2.5119E+02  8.0111E-04  9.0585E-03 
 9  5.0119E+02  4.4753E-04  3.6393E-03 
