Title:   Total RR and Delta N=0 DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesNe.txt
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  3.721E-01  0.000E+00
 2  1.9953E+00  2.364E-01  0.000E+00
 2  3.9811E+00  1.483E-01  0.000E+00
 2  7.9433E+00  9.160E-02  5.340E-37
 2  1.5849E+01  5.564E-02  2.980E-19
 2  3.1623E+01  3.317E-02  1.473E-10
 2  6.3096E+01  1.936E-02  2.019E-06
 2  1.2589E+02  1.101E-02  1.428E-04
 2  2.5119E+02  6.067E-03  7.210E-04
 2  5.0119E+02  3.216E-03  9.670E-04
 3  1.0000E+00  2.891E-01  2.435E-01
 3  1.9953E+00  1.839E-01  3.260E-01
 3  3.9811E+00  1.155E-01  3.788E-01
 3  7.9433E+00  7.152E-02  4.241E-01
 3  1.5849E+01  4.358E-02  3.172E-01
 3  3.1623E+01  2.607E-02  1.690E-01
 3  6.3096E+01  1.525E-02  7.396E-02
 3  1.2589E+02  8.660E-03  2.920E-02
 3  2.5119E+02  4.735E-03  1.093E-02
 3  5.0119E+02  2.474E-03  3.985E-03
 4  1.0000E+00  2.109E-01  1.740E+00
 4  1.9953E+00  1.342E-01  8.965E-01
 4  3.9811E+00  8.442E-02  6.133E-01
 4  7.9433E+00  5.242E-02  5.386E-01
 4  1.5849E+01  3.210E-02  4.757E-01
 4  3.1623E+01  1.933E-02  3.069E-01
 4  6.3096E+01  1.138E-02  1.513E-01
 4  1.2589E+02  6.477E-03  6.369E-02
 4  2.5119E+02  3.525E-03  2.465E-02
 4  5.0119E+02  1.817E-03  9.140E-03
 5  1.0000E+00  1.433E-01  8.476E-01
 5  1.9953E+00  9.111E-02  4.630E-01
 5  3.9811E+00  5.733E-02  2.985E-01
 5  7.9433E+00  3.572E-02  3.380E-01
 5  1.5849E+01  2.203E-02  4.092E-01
 5  3.1623E+01  1.342E-02  3.097E-01
 5  6.3096E+01  8.005E-03  1.646E-01
 5  1.2589E+02  4.618E-03  7.183E-02
 5  2.5119E+02  2.539E-03  2.831E-02
 5  5.0119E+02  1.316E-03  1.059E-02
 6  1.0000E+00  8.609E-02  1.987E-01
 6  1.9953E+00  5.450E-02  1.268E-01
 6  3.9811E+00  3.427E-02  9.958E-02
 6  7.9433E+00  2.146E-02  1.777E-01
 6  1.5849E+01  1.341E-02  2.472E-01
 6  3.1623E+01  8.342E-03  1.920E-01
 6  6.3096E+01  5.111E-03  1.029E-01
 6  1.2589E+02  3.025E-03  4.509E-02
 6  2.5119E+02  1.697E-03  1.780E-02
 6  5.0119E+02  8.911E-04  6.665E-03
 7  1.0000E+00  4.047E-02  1.602E-01
 7  1.9953E+00  2.529E-02  8.943E-02
 7  3.9811E+00  1.582E-02  7.065E-02
 7  7.9433E+00  1.000E-02  1.426E-01
 7  1.5849E+01  6.439E-03  1.791E-01
 7  3.1623E+01  4.208E-03  1.245E-01
 7  6.3096E+01  2.733E-03  6.226E-02
 7  1.2589E+02  1.705E-03  2.626E-02
 7  2.5119E+02  9.939E-04  1.016E-02
 7  5.0119E+02  5.336E-04  3.766E-03
 8  1.0000E+00  1.311E-02  6.436E-03
 8  1.9953E+00  7.996E-03  3.450E-03
 8  3.9811E+00  4.987E-03  6.908E-03
 8  7.9433E+00  3.272E-03  4.111E-02
 8  1.5849E+01  2.296E-03  6.811E-02
 8  3.1623E+01  1.688E-03  5.268E-02
 8  6.3096E+01  1.228E-03  2.765E-02
 8  1.2589E+02  8.351E-04  1.194E-02
 8  2.5119E+02  5.140E-04  4.675E-03
 8  5.0119E+02  2.843E-04  1.743E-03
 9  1.0000E+00  1.927E-03  1.994E-04
 9  1.9953E+00  1.096E-03  7.475E-05
 9  3.9811E+00  6.701E-04  7.063E-04
 9  7.9433E+00  4.899E-04  6.867E-03
 9  1.5849E+01  4.365E-04  1.303E-02
 9  3.1623E+01  4.182E-04  1.072E-02
 9  6.3096E+01  3.761E-04  5.798E-03
 9  1.2589E+02  2.976E-04  2.541E-03
 9  2.5119E+02  2.046E-04  1.002E-03
 9  5.0119E+02  1.235E-04  3.751E-04
