Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesNi.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  5.3613E+00  0.0000E+00 
 2  1.9953E+00  3.4847E+00  0.0000E+00 
 2  3.9811E+00  2.2540E+00  0.0000E+00 
 2  7.9433E+00  1.4496E+00  0.0000E+00 
 2  1.5849E+01  9.2546E-01  0.0000E+00 
 2  3.1623E+01  5.8521E-01  0.0000E+00 
 2  6.3096E+01  3.6540E-01  3.3948E-37 
 2  1.2589E+02  2.2436E-01  4.1461E-19 
 2  2.5119E+02  1.3478E-01  2.8826E-10 
 2  5.0119E+02  7.8732E-02  4.9551E-06 
 3  1.0000E+00  4.9310E+00  2.1852E+00 
 3  1.9953E+00  3.2062E+00  4.2104E+00 
 3  3.9811E+00  2.0743E+00  4.0949E+00 
 3  7.9433E+00  1.3338E+00  2.9428E+00 
 3  1.5849E+01  8.5089E-01  1.9868E+00 
 3  3.1623E+01  5.3725E-01  1.2990E+00 
 3  6.3096E+01  3.3460E-01  7.3199E-01 
 3  1.2589E+02  2.0465E-01  3.5824E-01 
 3  2.5119E+02  1.2226E-01  1.8058E-01 
 3  5.0119E+02  7.0888E-02  1.1498E-01 
 4  1.0000E+00  4.5090E+00  2.6994E+00 
 4  1.9953E+00  2.9314E+00  3.2815E+00 
 4  3.9811E+00  1.8957E+00  4.2332E+00 
 4  7.9433E+00  1.2180E+00  3.7895E+00 
 4  1.5849E+01  7.7598E-01  2.7532E+00 
 4  3.1623E+01  4.8889E-01  1.8568E+00 
 4  6.3096E+01  3.0350E-01  1.1651E+00 
 4  1.2589E+02  1.8478E-01  6.3138E-01 
 4  2.5119E+02  1.0971E-01  3.3607E-01 
 4  5.0119E+02  6.3109E-02  2.1150E-01 
 5  1.0000E+00  4.0774E+00  7.0258E+00 
 5  1.9953E+00  2.6473E+00  5.9096E+00 
 5  3.9811E+00  1.7097E+00  5.0273E+00 
 5  7.9433E+00  1.0968E+00  3.8131E+00 
 5  1.5849E+01  6.9765E-01  2.6495E+00 
 5  3.1623E+01  4.3876E-01  1.7983E+00 
 5  6.3096E+01  2.7183E-01  1.1823E+00 
 5  1.2589E+02  1.6513E-01  6.9462E-01 
 5  2.5119E+02  9.7797E-02  4.3268E-01 
 5  5.0119E+02  5.6096E-02  3.2369E-01 
 6  1.0000E+00  3.6656E+00  5.5168E+00 
 6  1.9953E+00  2.3753E+00  5.6150E+00 
 6  3.9811E+00  1.5308E+00  5.4037E+00 
 6  7.9433E+00  9.7986E-01  4.0501E+00 
 6  1.5849E+01  6.2178E-01  2.5293E+00 
 6  3.1623E+01  3.9006E-01  1.4921E+00 
 6  6.3096E+01  2.4101E-01  9.1703E-01 
 6  1.2589E+02  1.4598E-01  5.5251E-01 
 6  2.5119E+02  8.6178E-02  3.9929E-01 
 6  5.0119E+02  4.9262E-02  3.4741E-01 
 7  1.0000E+00  3.2639E+00  4.4026E+00 
 7  1.9953E+00  2.1096E+00  3.6241E+00 
 7  3.9811E+00  1.3559E+00  3.6006E+00 
 7  7.9433E+00  8.6549E-01  2.9631E+00 
 7  1.5849E+01  5.4760E-01  2.0293E+00 
 7  3.1623E+01  3.4247E-01  1.3028E+00 
 7  6.3096E+01  2.1093E-01  8.3832E-01 
 7  1.2589E+02  1.2733E-01  5.2544E-01 
 7  2.5119E+02  7.4908E-02  4.3077E-01 
 7  5.0119E+02  4.2665E-02  4.1105E-01 
 8  1.0000E+00  2.8812E+00  1.3464E+00 
 8  1.9953E+00  1.8566E+00  1.1392E+00 
 8  3.9811E+00  1.1895E+00  9.3924E-01 
 8  7.9433E+00  7.5673E-01  8.2759E-01 
 8  1.5849E+01  4.7711E-01  6.5940E-01 
 8  3.1623E+01  2.9730E-01  4.8433E-01 
 8  6.3096E+01  1.8242E-01  3.9119E-01 
 8  1.2589E+02  1.0968E-01  3.2715E-01 
 8  2.5119E+02  6.4261E-02  3.7961E-01 
 8  5.0119E+02  3.6444E-02  4.1498E-01 
 9  1.0000E+00  2.5129E+00  1.1496E+00 
 9  1.9953E+00  1.6132E+00  7.6142E-01 
 9  3.9811E+00  1.0294E+00  6.4607E-01 
 9  7.9433E+00  6.5212E-01  5.5860E-01 
 9  1.5849E+01  4.0934E-01  3.5977E-01 
 9  3.1623E+01  2.5389E-01  2.1765E-01 
 9  6.3096E+01  1.5502E-01  1.7936E-01 
 9  1.2589E+02  9.2737E-02  2.0238E-01 
 9  2.5119E+02  5.4040E-02  3.3078E-01 
 9  5.0119E+02  3.0476E-02  3.9576E-01 
