Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesS.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  1.3245E+00  0.0000E+00 
 2  1.9953E+00  8.5012E-01  0.0000E+00 
 2  3.9811E+00  5.4212E-01  0.0000E+00 
 2  7.9433E+00  3.4293E-01  0.0000E+00 
 2  1.5849E+01  2.1467E-01  1.1767E-47 
 2  3.1623E+01  1.3255E-01  3.3646E-24 
 2  6.3096E+01  8.0391E-02  1.1468E-12 
 2  1.2589E+02  4.7633E-02  4.4552E-07 
 2  2.5119E+02  2.7403E-02  2.2787E-04 
 2  5.0119E+02  1.5204E-02  4.0587E-03 
 3  1.0000E+00  1.1465E+00  2.9214E+00 
 3  1.9953E+00  7.3719E-01  2.1092E+00 
 3  3.9811E+00  4.7074E-01  1.3659E+00 
 3  7.9433E+00  2.9796E-01  9.8373E-01 
 3  1.5849E+01  1.8644E-01  7.3143E-01 
 3  3.1623E+01  1.1490E-01  4.4164E-01 
 3  6.3096E+01  6.9424E-02  2.2926E-01 
 3  1.2589E+02  4.0887E-02  1.3849E-01 
 3  2.5119E+02  2.3320E-02  9.4828E-02 
 3  5.0119E+02  1.2794E-02  5.6322E-02 
 4  1.0000E+00  9.7651E-01  3.1419E+00 
 4  1.9953E+00  6.2819E-01  2.1259E+00 
 4  3.9811E+00  4.0114E-01  1.7458E+00 
 4  7.9433E+00  2.5372E-01  1.3812E+00 
 4  1.5849E+01  1.5847E-01  1.1268E+00 
 4  3.1623E+01  9.7355E-02  8.1392E-01 
 4  6.3096E+01  5.8532E-02  4.6967E-01 
 4  1.2589E+02  3.4232E-02  2.6875E-01 
 4  2.5119E+02  1.9345E-02  1.6068E-01 
 4  5.0119E+02  1.0492E-02  8.5140E-02 
 5  1.0000E+00  8.0529E-01  1.0863E+00 
 5  1.9953E+00  5.1767E-01  6.9112E-01 
 5  3.9811E+00  3.3034E-01  6.3846E-01 
 5  7.9433E+00  2.0880E-01  6.2132E-01 
 5  1.5849E+01  1.3034E-01  6.5283E-01 
 5  3.1623E+01  8.0036E-02  6.0977E-01 
 5  6.3096E+01  4.8100E-02  4.4002E-01 
 5  1.2589E+02  2.8122E-02  3.3474E-01 
 5  2.5119E+02  1.5889E-02  2.3667E-01 
 5  5.0119E+02  8.6170E-03  1.3092E-01 
 6  1.0000E+00  6.4958E-01  2.4562E+00 
 6  1.9953E+00  4.1638E-01  1.2317E+00 
 6  3.9811E+00  2.6497E-01  8.0024E-01 
 6  7.9433E+00  1.6706E-01  5.5232E-01 
 6  1.5849E+01  1.0406E-01  4.9890E-01 
 6  3.1623E+01  6.3787E-02  4.7423E-01 
 6  6.3096E+01  3.8293E-02  3.8008E-01 
 6  1.2589E+02  2.2381E-02  3.2899E-01 
 6  2.5119E+02  1.2652E-02  2.3960E-01 
 6  5.0119E+02  6.8710E-03  1.3114E-01 
 7  1.0000E+00  5.0402E-01  1.9850E+00 
 7  1.9953E+00  3.2112E-01  1.8115E+00 
 7  3.9811E+00  2.0320E-01  1.2880E+00 
 7  7.9433E+00  1.2750E-01  7.9712E-01 
 7  1.5849E+01  7.9124E-02  5.8927E-01 
 7  3.1623E+01  4.8405E-02  4.7241E-01 
 7  6.3096E+01  2.9062E-02  3.5663E-01 
 7  1.2589E+02  1.7032E-02  2.9556E-01 
 7  2.5119E+02  9.6824E-03  2.0360E-01 
 7  5.0119E+02  5.3037E-03  1.0712E-01 
 8  1.0000E+00  3.7764E-01  1.8056E+00 
 8  1.9953E+00  2.3943E-01  9.0016E-01 
 8  3.9811E+00  1.5077E-01  4.0827E-01 
 8  7.9433E+00  9.4151E-02  1.8990E-01 
 8  1.5849E+01  5.8164E-02  1.7475E-01 
 8  3.1623E+01  3.5432E-02  2.1767E-01 
 8  6.3096E+01  2.1193E-02  2.3523E-01 
 8  1.2589E+02  1.2380E-02  2.2764E-01 
 8  2.5119E+02  7.0193E-03  1.5668E-01 
 8  5.0119E+02  3.8378E-03  8.0462E-02 
 9  1.0000E+00  2.6378E-01  8.5901E-02 
 9  1.9953E+00  1.6565E-01  4.1657E-02 
 9  3.9811E+00  1.0335E-01  2.0768E-02 
 9  7.9433E+00  6.3990E-02  1.7298E-02 
 9  1.5849E+01  3.9238E-02  4.2809E-02 
 9  3.1623E+01  2.3763E-02  9.1316E-02 
 9  6.3096E+01  1.4161E-02  1.3528E-01 
 9  1.2589E+02  8.2632E-03  1.3916E-01 
 9  2.5119E+02  4.6950E-03  9.3177E-02 
 9  5.0119E+02  2.5810E-03  4.6557E-02 
