Title:   Total RR and DR Rate Coefficients
Authors: M. F. Gu
========================================================================
byte-by-byte description of file: tratesSi.dat
------------------------------------------------------------------------
     Bytes Format                Units      Label  Explanation
------------------------------------------------------------------------
    1-   2     I2                 None       NELE  Num. of Electrons
    4-  14  E11.4                   eV       Temp  Temperature
   16-  26  E11.4       10^-10^cm^3^/s         RR  Total RR Rate Coeff.
   28-  38  E11.4       10^-10^cm^3^/s         DR  Total DR Rate Coeff.
------------------------------------------------------------------------
 2  1.0000E+00  9.3152E-01  0.0000E+00 
 2  1.9953E+00  5.9564E-01  0.0000E+00 
 2  3.9811E+00  3.7822E-01  0.0000E+00 
 2  7.9433E+00  2.3808E-01  0.0000E+00 
 2  1.5849E+01  1.4818E-01  1.5849E-36 
 2  3.1623E+01  9.0877E-02  9.9434E-19 
 2  6.3096E+01  5.4667E-02  5.0292E-10 
 2  1.2589E+02  3.2077E-02  8.5862E-06 
 2  2.5119E+02  1.8243E-02  1.0003E-03 
 2  5.0119E+02  9.9889E-03  7.8808E-03 
 3  1.0000E+00  7.8859E-01  1.4754E-01 
 3  1.9953E+00  5.0540E-01  4.0996E-01 
 3  3.9811E+00  3.2149E-01  5.4786E-01 
 3  7.9433E+00  2.0256E-01  6.1132E-01 
 3  1.5849E+01  1.2603E-01  5.2813E-01 
 3  3.1623E+01  7.7139E-02  3.2590E-01 
 3  6.3096E+01  4.6212E-02  1.7862E-01 
 3  1.2589E+02  2.6935E-02  1.1546E-01 
 3  2.5119E+02  1.5174E-02  7.3093E-02 
 3  5.0119E+02  8.2070E-03  4.1655E-02 
 4  1.0000E+00  6.5412E-01  6.7514E+00 
 4  1.9953E+00  4.1950E-01  4.1833E+00 
 4  3.9811E+00  2.6688E-01  2.5896E+00 
 4  7.9433E+00  1.6802E-01  1.5489E+00 
 4  1.5849E+01  1.0435E-01  1.0748E+00 
 4  3.1623E+01  6.3647E-02  7.0645E-01 
 4  6.3096E+01  3.7926E-02  3.9645E-01 
 4  1.2589E+02  2.1940E-02  2.2299E-01 
 4  2.5119E+02  1.2238E-02  1.2064E-01 
 4  5.0119E+02  6.5396E-03  5.8671E-02 
 5  1.0000E+00  5.1940E-01  4.3331E+00 
 5  1.9953E+00  3.3307E-01  2.7465E+00 
 5  3.9811E+00  2.1190E-01  1.6563E+00 
 5  7.9433E+00  1.3343E-01  9.4003E-01 
 5  1.5849E+01  8.2889E-02  7.2261E-01 
 5  3.1623E+01  5.0583E-02  5.6862E-01 
 5  6.3096E+01  3.0163E-02  3.9500E-01 
 5  1.2589E+02  1.7465E-02  2.7718E-01 
 5  2.5119E+02  9.7539E-03  1.6567E-01 
 5  5.0119E+02  5.2193E-03  8.1592E-02 
 6  1.0000E+00  4.0010E-01  1.2242E+01 
 6  1.9953E+00  2.5581E-01  5.1530E+00 
 6  3.9811E+00  1.6231E-01  2.1449E+00 
 6  7.9433E+00  1.0197E-01  9.3236E-01 
 6  1.5849E+01  6.3239E-02  5.9242E-01 
 6  3.1623E+01  3.8556E-02  4.6456E-01 
 6  6.3096E+01  2.2992E-02  3.5999E-01 
 6  1.2589E+02  1.3329E-02  2.7205E-01 
 6  2.5119E+02  7.4621E-03  1.6341E-01 
 6  5.0119E+02  4.0074E-03  7.9079E-02 
 7  1.0000E+00  2.9155E-01  5.2220E-01 
 7  1.9953E+00  1.8533E-01  3.5233E-01 
 7  3.9811E+00  1.1696E-01  2.6281E-01 
 7  7.9433E+00  7.3140E-02  2.5413E-01 
 7  1.5849E+01  4.5200E-02  3.4167E-01 
 7  3.1623E+01  2.7503E-02  3.3583E-01 
 7  6.3096E+01  1.6399E-02  2.7575E-01 
 7  1.2589E+02  9.5273E-03  2.0198E-01 
 7  2.5119E+02  5.3584E-03  1.1554E-01 
 7  5.0119E+02  2.8983E-03  5.3968E-02 
 8  1.0000E+00  1.9959E-01  1.3547E-01 
 8  1.9953E+00  1.2600E-01  7.9729E-02 
 8  3.9811E+00  7.9023E-02  5.7570E-02 
 8  7.9433E+00  4.9161E-02  6.1347E-02 
 8  1.5849E+01  3.0267E-02  1.3653E-01 
 8  3.1623E+01  1.8384E-02  1.8609E-01 
 8  6.3096E+01  1.0970E-02  1.7938E-01 
 8  1.2589E+02  6.3974E-03  1.2986E-01 
 8  2.5119E+02  3.6242E-03  7.0599E-02 
 8  5.0119E+02  1.9814E-03  3.1761E-02 
 9  1.0000E+00  1.2195E-01  1.0212E-01 
 9  1.9953E+00  7.5553E-02  5.5339E-02 
 9  3.9811E+00  4.6435E-02  2.6602E-02 
 9  7.9433E+00  2.8269E-02  1.8509E-02 
 9  1.5849E+01  1.7011E-02  4.7177E-02 
 9  3.1623E+01  1.0169E-02  8.4695E-02 
 9  6.3096E+01  6.1739E-03  9.0423E-02 
 9  1.2589E+02  3.7828E-03  6.3460E-02 
 9  2.5119E+02  2.2509E-03  3.2942E-02 
 9  5.0119E+02  1.2674E-03  1.4365E-02 
